,ISI_ULASAN,KLASIFIKASI_FITUR,SUB_KLASIFIKASI_FITUR,ISI_ULASAN_TOKEN,ISI_ULASAN_STEMMED
1842,rugi beli wifi iconnet di pln ini itu nya belum datang juga gak rekomended sumpah ini ada beli nya aya screenshot pegawai nya,ICONNET,Registration ICONNET,"['rugi', 'beli', 'wifi', 'iconnet', 'pln', 'nya', 'gak', 'rekomended', 'sumpah', 'beli', 'nya', 'aya', 'screenshot', 'pegawai', 'nya']","['rugi', 'beli', 'wifi', 'iconnet', 'pln', 'nya', 'gak', 'rekomended', 'sumpah', 'beli', 'nya', 'aya', 'screenshot', 'pegawai', 'nya']"
1843,kenapa sekarang bayar token listrik via transfer ke sama bank mandiri kena biaya rp boss harus gratis itu serakah banget sedang transfer duit dr atm mandiri ke sama mandiri gratis,Feature Design,Tentang promo/stimulus,"['bayar', 'token', 'listrik', 'via', 'transfer', 'bank', 'mandiri', 'kena', 'biaya', 'rp', 'boss', 'gratis', 'serakah', 'banget', 'transfer', 'duit', 'dr', 'atm', 'mandiri', 'mandiri', 'gratis']","['bayar', 'token', 'listrik', 'via', 'transfer', 'bank', 'mandiri', 'kena', 'biaya', 'rp', 'boss', 'gratis', 'serakah', 'banget', 'transfer', 'duit', 'dr', 'atm', 'mandiri', 'mandiri', 'gratis']"
1844,maaf bintang kecewa saya aju adu ke listriqu lewat aplikasi pln mobile sudah  tidak ada konfirmasi apa dan tidak ada yg dateng sampe saat ini call center selalu sibuk tlp call center pln pun hanya follow up tidak ada progress terima kasih,LISTRI-Qu,Service O2O LISTRI-Qu,"['maaf', 'bintang', 'kecewa', 'aju', 'adu', 'listriqu', 'aplikasi', 'pln', 'mobile', 'konfirmasi', 'dateng', 'sampe', 'call', 'center', 'sibuk', 'tlp', 'call', 'center', 'pln', 'follow', 'up', 'progress', 'terima', 'kasih']","['maaf', 'bintang', 'kecewa', 'aju', 'adu', 'listriqu', 'aplikasi', 'pln', 'mobile', 'konfirmasi', 'dateng', 'sampe', 'call', 'center', 'sibuk', 'tlp', 'call', 'center', 'pln', 'follow', 'up', 'progress', 'terima', 'kasih']"
1845,ini ko gabisa ya untuk tukar baterai molis di bagi pilih merk motor malah kosong semua gimana sih,Feature Errors,Fitur SPBKLU,"['ko', 'gabisa', 'ya', 'tukar', 'baterai', 'molis', 'pilih', 'merk', 'motor', 'kosong', 'gimana']","['ko', 'gabisa', 'ya', 'tukar', 'baterai', 'mol', 'pilih', 'merk', 'motor', 'kosong', 'gimana']"
1846,tindak di aplikasi dengan di lapang beda dan tidak ada selesai di lapang yg di ikan tugas prosedur yg di pintak tugas padahal sudah di lengkap semua,Service O2O,Keluhan yang ditandai dilakukan tanpa realisasi,"['tindak', 'aplikasi', 'lapang', 'beda', 'selesai', 'lapang', 'ikan', 'tugas', 'prosedur', 'pintak', 'tugas', 'lengkap']","['tindak', 'aplikasi', 'lapang', 'beda', 'selesai', 'lapang', 'ikan', 'tugas', 'prosedur', 'pintak', 'tugas', 'lengkap']"
1847,desa saya listrik sering mativoltase sering dropdari saya kecil sampe sekarang udah umur thnga ada kemajuanlaporan via chat ga bergunajawabannya selalu aja kya gtuh mutertlg donk di sama ratakankaya kota besarmasak kami di kasih listrik jeleksama bayarkagak ngutangini posisi di siang haripemakaian listrik hanya tv led doankvoltase jg dropvolt nyuruh pakai di kurang lagipetugas ga ada yang ngecek,Service O2O,Respon lambat terhadap keluhan pemadaman,"['desa', 'listrik', 'mativoltase', 'dropdari', 'sampe', 'udah', 'umur', 'thnga', 'kemajuanlaporan', 'via', 'chat', 'ga', 'bergunajawabannya', 'kya', 'gtuh', 'mutertlg', 'donk', 'ratakankaya', 'kota', 'besarmasak', 'kasih', 'listrik', 'jeleksama', 'bayarkagak', 'ngutangini', 'posisi', 'siang', 'haripemakaian', 'listrik', 'tv', 'led', 'doankvoltase', 'dropvolt', 'nyuruh', 'pakai', 'lagipetugas', 'ga', 'ngecek']","['desa', 'listrik', 'mativoltase', 'dropdari', 'sampe', 'udah', 'umur', 'thnga', 'kemajuanlaporan', 'via', 'chat', 'ga', 'bergunajawabannya', 'kya', 'gtuh', 'mutertlg', 'donk', 'ratakankaya', 'kota', 'besarmasak', 'kasih', 'listrik', 'jeleksama', 'bayarkagak', 'ngutangini', 'posisi', 'siang', 'haripemakaian', 'listrik', 'tv', 'led', 'doankvoltase', 'dropvolt', 'nyuruh', 'pakai', 'lagipetugas', 'ga', 'ngecek']"
1848,jangan mau daftar iconnect lewat pln mobile alam saya daerah saya tercover tp telah teknisi datang tidak tercover alhasil aju refund lama banget bulan lebih belum refund juga,ICONNET,Registration ICONNET,"['daftar', 'iconnect', 'pln', 'mobile', 'alam', 'daerah', 'tercover', 'tp', 'teknisi', 'tercover', 'alhasil', 'aju', 'refund', 'banget', 'refund']","['daftar', 'iconnect', 'pln', 'mobile', 'alam', 'daerah', 'tercover', 'tp', 'teknisi', 'tercover', 'alhasil', 'aju', 'refund', 'banget', 'refund']"
1849,sudah tidak asik sudah ada biaya admin saat bayar,Feature Design,Tentang promo/stimulus,"['asik', 'biaya', 'admin', 'bayar']","['asik', 'biaya', 'admin', 'bayar']"
1850,untuk padam banyak tangan nya lama juga sering gagal hubung ke server,Service O2O,Respon lambat terhadap keluhan pemadaman,"['padam', 'tangan', 'nya', 'gagal', 'hubung', 'server']","['padam', 'tangan', 'nya', 'gagal', 'hubung', 'server']"
1851,refund kata bulan ini udah bulan lebih belum direfund,Feature Errors,Status payment gagal tapi saldo sudah terpotong,"['refund', 'udah', 'direfund']","['refund', 'udah', 'direfund']"
1852,lot,Feature Errors,Gangguan Server,['lot'],['lot']
1853,laku adu di aplikasi ini tidak ada tidak lanjut beli token saldo potong status tunggu bayar aplikasi tidak guna sama skali,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['laku', 'adu', 'aplikasi', 'beli', 'token', 'saldo', 'potong', 'status', 'tunggu', 'bayar', 'aplikasi', 'skali']","['laku', 'adu', 'aplikasi', 'beli', 'token', 'saldo', 'potong', 'status', 'tunggu', 'bayar', 'aplikasi', 'skali']"
1854,dulu bayar via mandiri tanpa biaya layanansekarang harus bayar biaya layan,Feature Design,Tentang promo/stimulus,"['bayar', 'via', 'mandiri', 'biaya', 'layanansekarang', 'bayar', 'biaya', 'layan']","['bayar', 'via', 'mandiri', 'biaya', 'layanansekarang', 'bayar', 'biaya', 'layan']"
1855,awal pake aplikasi ini karena ga ada biaya aplikasi kita beli nominal token dengan harga yang sama sekarang malah pake biaya aplikasi yang sayang nya biaya aplikasi lebih mahal dari biaya aplikasi lain yang sama jual token listrik dan dapat poin juga sedikit padahal saya sudah sangat senang beli token di aplikasi ini karena murah dan langsung ke pln nya cuman sayang usaha besar pln masih butuh biaya aplikasi,Feature Design,Tentang promo/stimulus,"['pake', 'aplikasi', 'ga', 'biaya', 'aplikasi', 'beli', 'nominal', 'token', 'harga', 'pake', 'biaya', 'aplikasi', 'sayang', 'nya', 'biaya', 'aplikasi', 'mahal', 'biaya', 'aplikasi', 'jual', 'token', 'listrik', 'poin', 'senang', 'beli', 'token', 'aplikasi', 'murah', 'langsung', 'pln', 'nya', 'cuman', 'sayang', 'usaha', 'pln', 'butuh', 'biaya', 'aplikasi']","['pake', 'aplikasi', 'ga', 'biaya', 'aplikasi', 'beli', 'nominal', 'token', 'harga', 'pake', 'biaya', 'aplikasi', 'sayang', 'nya', 'biaya', 'aplikasi', 'mahal', 'biaya', 'aplikasi', 'jual', 'token', 'listrik', 'poin', 'senang', 'beli', 'token', 'aplikasi', 'murah', 'langsung', 'pln', 'nya', 'cuman', 'sayang', 'usaha', 'pln', 'butuh', 'biaya', 'aplikasi']"
1856,you can  do  live chat if your pln id was digits,Feature Design,Fitur Live Chat,"['you', 'can', 'do', 'live', 'chat', 'if', 'your', 'pln', 'id', 'was', 'digits']","['you', 'can', 'do', 'live', 'chat', 'if', 'your', 'pln', 'id', 'was', 'digits']"
1857,iconnet isp sampah lapor ganggu yg respon hanya bot tindak lanjut ngk ada teknisi fokus pasang baru fast respon tapi pas ada ganggu tidak ada yang gerak,ICONNET,Service O2O ICONNET,"['iconnet', 'isp', 'sampah', 'lapor', 'ganggu', 'respon', 'bot', 'tindak', 'ngk', 'teknisi', 'fokus', 'pasang', 'fast', 'respon', 'pas', 'ganggu', 'gerak']","['iconnet', 'isp', 'sampah', 'lapor', 'ganggu', 'respon', 'bot', 'tindak', 'ngk', 'teknisi', 'fokus', 'pasang', 'fast', 'respon', 'pas', 'ganggu', 'gerak']"
1858,kacau banget internet mati hari udah lapor cuma ga ada jelas estimasi waktu ga ada tindak lanjut yang jelas di cek ada ganggu atau nggaknya juga  di kasih tau tuh waktu telpon ke cs saran jangan bikin kecewa deh banyak saing lain soal,ICONNET,Feature Error ICONNET,"['kacau', 'banget', 'internet', 'mati', 'udah', 'lapor', 'ga', 'estimasi', 'ga', 'tindak', 'cek', 'ganggu', 'nggaknya', 'kasih', 'tuh', 'telpon', 'cs', 'saran', 'kecewa', 'deh', 'saing']","['kacau', 'banget', 'internet', 'mati', 'udah', 'lapor', 'ga', 'estimasi', 'ga', 'tindak', 'cek', 'ganggu', 'nggaknya', 'kasih', 'tuh', 'telpon', 'cs', 'saran', 'kecewa', 'deh', 'saing']"
1859,mau bikin adu tp knapa koq gak bisa dg kondisi harus bikin titik lokasi tp knp koq selalu gagal tentu titik lokasi terus apa gps apk pln mobile tdk support,Feature Errors,Kesalahan koordinat lokasi,"['adu', 'tp', 'knapa', 'koq', 'gak', 'dg', 'kondisi', 'titik', 'lokasi', 'tp', 'knp', 'koq', 'gagal', 'titik', 'lokasi', 'gps', 'apk', 'pln', 'mobile', 'tdk', 'support']","['adu', 'tp', 'knapa', 'koq', 'gak', 'dg', 'kondisi', 'titik', 'lokasi', 'tp', 'knp', 'koq', 'gagal', 'titik', 'lokasi', 'gps', 'apk', 'pln', 'mobile', 'tdk', 'support']"
1860,iconnetnya kacau hari ganggu bikin lapor ga ada tindak lanjut yg jelas ga bisa kasih estimasi yg pasti kapan selesai baik kapan tim lapang dateng mending tingkatin dulu deh layan,ICONNET,Service O2O ICONNET,"['iconnetnya', 'kacau', 'ganggu', 'lapor', 'ga', 'tindak', 'ga', 'kasih', 'estimasi', 'selesai', 'tim', 'lapang', 'dateng', 'mending', 'tingkatin', 'deh', 'layan']","['iconnetnya', 'kacau', 'ganggu', 'lapor', 'ga', 'tindak', 'ga', 'kasih', 'estimasi', 'selesai', 'tim', 'lapang', 'dateng', 'mending', 'tingkatin', 'deh', 'layan']"
1861,sangat tidak bantu,Feature Errors,Fungsi fitur gagal,['bantu'],['bantu']
1862,untuk pihak sedia aplikasi tolong dong jaring sudah bagus wifi stabil tapi kenapa rasa berat,Feature Errors,Gangguan Server,"['sedia', 'aplikasi', 'tolong', 'jaring', 'bagus', 'wifi', 'stabil', 'berat']","['sedia', 'aplikasi', 'tolong', 'jaring', 'bagus', 'wifi', 'stabil', 'berat']"
1863,swacam ny tidak bisa di pake token pulsa lampu sdh sampay  bli tidak pun yng bisa di pake tidak ada respon yang pasti,Feature Errors,Swacam tidak dapat digunakan,"['swacam', 'ny', 'pake', 'token', 'pulsa', 'lampu', 'sampay', 'bli', 'yng', 'pake', 'respon']","['swacam', 'ny', 'pake', 'token', 'pulsa', 'lampu', 'sampay', 'bli', 'yng', 'pake', 'respon']"
1864,aplikasi tidak ada guna tidak ada tugas yang datang,Service O2O,Laporan pengaduan tidak di respon,"['aplikasi', 'tugas']","['aplikasi', 'tugas']"
1865,ga ada tugas yang bs datang nihudah lapor puluh kali,Service O2O,Laporan pengaduan tidak di respon,"['ga', 'tugas', 'bs', 'nihudah', 'lapor', 'puluh', 'kali']","['ga', 'tugas', 'bs', 'nihudah', 'lapor', 'puluh', 'kali']"
1866,bener bener nih aplikasi ga bantu,Feature Errors,Fungsi fitur gagal,"['bener', 'bener', 'nih', 'aplikasi', 'ga', 'bantu']","['bener', 'bener', 'nih', 'aplikasi', 'ga', 'bantu']"
1867,aku ngak bisa cetak strukrekening listri lewat apk pln mobile,Feature Design,History pembelian token/pembayaran tagihan,"['ngak', 'cetak', 'strukrekening', 'listri', 'apk', 'pln', 'mobile']","['ngak', 'cetak', 'strukrekening', 'listri', 'apk', 'pln', 'mobile']"
1868,tidak bisa di isi token lampu merah kedip layar ada tulis gagalsetelah di cek salh satu angka,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['isi', 'token', 'lampu', 'merah', 'kedip', 'layar', 'tulis', 'gagalsetelah', 'cek', 'salh', 'angka']","['isi', 'token', 'lampu', 'merah', 'kedip', 'layar', 'tulis', 'gagalsetelah', 'cek', 'salh', 'angka']"
1869,tanggap tidak direspon dengan cepat nihilada tanggap mesti pakai pulsa baru ada tanggap,Service O2O,Laporan pengaduan tidak di respon,"['tanggap', 'direspon', 'cepat', 'nihilada', 'tanggap', 'mesti', 'pakai', 'pulsa', 'tanggap']","['tanggap', 'direspon', 'cepat', 'nihilada', 'tanggap', 'mesti', 'pakai', 'pulsa', 'tanggap']"
1870,sebenernya praktis tapiiii masa lagi butuh untuk lacak adu mati listrik tiba aplikasi ganggu jaring pisannnnn halaahhhhhh jawab jawab developer koneksi baguuussss semua koneksi udah coba jaring sistem kalian tuh yg eror,Feature Errors,Gangguan Server,"['sebenernya', 'praktis', 'tapiiii', 'butuh', 'lacak', 'adu', 'mati', 'listrik', 'aplikasi', 'ganggu', 'jaring', 'pisannnnn', 'halaahhhhhh', 'developer', 'koneksi', 'baguuussss', 'koneksi', 'udah', 'coba', 'jaring', 'sistem', 'tuh', 'eror']","['sebenernya', 'praktis', 'tapiiii', 'butuh', 'lacak', 'adu', 'mati', 'listrik', 'aplikasi', 'ganggu', 'jaring', 'pisannnnn', 'halaahhhhhh', 'developer', 'koneksi', 'baguuussss', 'koneksi', 'udah', 'coba', 'jaring', 'sistem', 'tuh', 'eror']"
1871,di suruh download apk nya tp ga fungsi untuk tuker batre viar  masa apk erorr sampe hari niat bikin apk ga sih,Feature Errors,Fitur SPBKLU,"['suruh', 'download', 'apk', 'nya', 'tp', 'ga', 'fungsi', 'tuker', 'batre', 'viar', 'apk', 'erorr', 'sampe', 'niat', 'apk', 'ga']","['suruh', 'download', 'apk', 'nya', 'tp', 'ga', 'fungsi', 'tuker', 'batre', 'viar', 'apk', 'erorr', 'sampe', 'niat', 'apk', 'ga']"
1872,tidak bisa kirim lapor keluh,Feature Errors,Pengaduan tidak bisa di submit/tidak bisa digunakan,"['kirim', 'lapor', 'keluh']","['kirim', 'lapor', 'keluh']"
1873,apk gk guna mau adu gk bisa gmna sih,Feature Errors,Pengaduan tidak bisa di submit/tidak bisa digunakan,"['apk', 'gk', 'adu', 'gk', 'gmna']","['apk', 'gk', 'adu', 'gk', 'gmna']"
1874,ga guna aplikasi,Feature Errors,Fungsi fitur gagal,"['ga', 'aplikasi']","['ga', 'aplikasi']"
1875,eroooor apk nya gak ada notif ke aplikasi ovo gue mau tuker batre molis,Feature Errors,Fitur SPBKLU,"['eroooor', 'apk', 'nya', 'gak', 'notif', 'aplikasi', 'ovo', 'gue', 'tuker', 'batre', 'molis']","['eroooor', 'apk', 'nya', 'gak', 'notif', 'aplikasi', 'ovo', 'gue', 'tuker', 'batre', 'mol']"
1876,aplikasi berat kadang percuma sih adu di aplikasi tapi tugas tidak langsung menindaklanjuti,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['aplikasi', 'berat', 'kadang', 'adu', 'aplikasi', 'tugas', 'langsung', 'menindaklanjuti']","['aplikasi', 'berat', 'kadang', 'adu', 'aplikasi', 'tugas', 'langsung', 'menindaklanjuti']"
1877,tiap saya lapor akan ada ganggu mati lampu lapor saya selalu batal dengan terang batal oleh langgan yang mana saya sendiri tidak ada batal lapor saya sebut karena masalah belum atas oleh pihak pln yg mana saya tanya langgan yg lain juga alam hal yang sama untuk tempat saya,Service O2O,Keluhan yang ditandai dilakukan tanpa realisasi,"['lapor', 'ganggu', 'mati', 'lampu', 'lapor', 'batal', 'terang', 'batal', 'langgan', 'batal', 'lapor', 'pln', 'langgan', 'alam']","['lapor', 'ganggu', 'mati', 'lampu', 'lapor', 'batal', 'terang', 'batal', 'langgan', 'batal', 'lapor', 'pln', 'langgan', 'alam']"
1878,pln layan paling buruk,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['pln', 'layan', 'buruk']","['pln', 'layan', 'buruk']"
1879,lapor mulai jam sore sampe sekarang belum tangan masih antri kata sekarang jam malem gelap rumah ku kerja mandek,Service O2O,Respon lambat terhadap keluhan pemadaman,"['lapor', 'jam', 'sore', 'sampe', 'tangan', 'antri', 'jam', 'malem', 'gelap', 'rumah', 'ku', 'kerja', 'mandek']","['lapor', 'jam', 'sore', 'sampe', 'tangan', 'antri', 'jam', 'malem', 'gelap', 'rumah', 'ku', 'kerja', 'mandek']"
1880,di tempat kami sering padam pln dan kurang arus pln khusus di area pangkal kerinci sampai ke kabupaten indrahulu kota rengat provriau siang oke oke aja arus dan tiap malam arus kurang terus apakah di pihak gardu pln pangkal krinci tidak pelihara gardu sampai sudah bulan masalah terus pln ini dan sering pihak kita lapor adu di pln mobile eh malah di blokir akun emng semua pihak pln cuman butuh uang masyarakat aja buka mentingkan pelangg,Service O2O,Respon lambat terhadap keluhan pemadaman,"['padam', 'pln', 'arus', 'pln', 'khusus', 'area', 'pangkal', 'kerinci', 'kabupaten', 'indrahulu', 'kota', 'rengat', 'provriau', 'siang', 'oke', 'oke', 'arus', 'malam', 'arus', 'gardu', 'pln', 'pangkal', 'krinci', 'pelihara', 'gardu', 'pln', 'lapor', 'adu', 'pln', 'mobile', 'blokir', 'akun', 'emng', 'pln', 'cuman', 'butuh', 'uang', 'masyarakat', 'buka', 'mentingkan', 'pelangg']","['padam', 'pln', 'arus', 'pln', 'khusus', 'area', 'pangkal', 'kerinci', 'kabupaten', 'indrahulu', 'kota', 'rengat', 'provriau', 'siang', 'oke', 'oke', 'arus', 'malam', 'arus', 'gardu', 'pln', 'pangkal', 'krinci', 'pelihara', 'gardu', 'pln', 'lapor', 'adu', 'pln', 'mobile', 'blokir', 'akun', 'emng', 'pln', 'cuman', 'butuh', 'uang', 'masyarakat', 'buka', 'ting', 'pelangg']"
1881,buat apa fitur ganti batre viar kalo ttp error gaguna ni aplikasi,Feature Errors,Fitur SPBKLU,"['fitur', 'ganti', 'batre', 'viar', 'ttp', 'error', 'gaguna', 'ni', 'aplikasi']","['fitur', 'ganti', 'batre', 'viar', 'ttp', 'error', 'gaguna', 'ni', 'aplikasi']"
1882,saya transaksipembayaran tagih listrik lewat pln mobile tgl april hari kamis lewat aplikasi metode bayar chim niaga dgn no rekg ke indonesia comnets plus yg sudah saya transfer sampai sekarang blm lunas sampai transaksi kadaluarsa mohon dari pihak indonesia comnet plus pertanggungjawabkan sampai transaksi tagih listrik saya lunas kecewa sekali layan buruk sekali,Feature Errors,Status payment gagal tapi saldo sudah terpotong,"['transaksipembayaran', 'tagih', 'listrik', 'pln', 'mobile', 'tgl', 'april', 'kamis', 'aplikasi', 'metode', 'bayar', 'chim', 'niaga', 'no', 'rekg', 'indonesia', 'comnets', 'plus', 'transfer', 'blm', 'lunas', 'transaksi', 'kadaluarsa', 'mohon', 'indonesia', 'comnet', 'plus', 'pertanggungjawabkan', 'transaksi', 'tagih', 'listrik', 'lunas', 'kecewa', 'layan', 'buruk']","['transaksipembayaran', 'tagih', 'listrik', 'pln', 'mobile', 'tgl', 'april', 'kamis', 'aplikasi', 'metode', 'bayar', 'chim', 'niaga', 'no', 'rekg', 'indonesia', 'comnets', 'plus', 'transfer', 'blm', 'lunas', 'transaksi', 'kadaluarsa', 'mohon', 'indonesia', 'comnet', 'plus', 'pertanggungjawabkan', 'transaksi', 'tagih', 'listrik', 'lunas', 'kecewa', 'layan', 'buruk']"
1883,lemooottt sekali layan,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['lemooottt', 'layan']","['lemooottt', 'layan']"
1884,listrik mati tiap malam panas banyak nyamuk tau gak,Service O2O,Respon lambat terhadap keluhan pemadaman,"['listrik', 'mati', 'malam', 'panas', 'nyamuk', 'gak']","['listrik', 'mati', 'malam', 'panas', 'nyamuk', 'gak']"
1885,diupdate malah lot gmn sih,Feature Errors,Gangguan Server,"['diupdate', 'lot', 'gmn']","['diupdate', 'lot', 'gmn']"
1886,layan ada dari kantor pln respon nya sangat lambat dan kurang cepat sehingga sering habis token lebih dulu,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['layan', 'kantor', 'pln', 'respon', 'nya', 'lambat', 'cepat', 'habis', 'token']","['layan', 'kantor', 'pln', 'respon', 'nya', 'lambat', 'cepat', 'habis', 'token']"
1887,aplikasi sangat bagus,Umum,Lain-lain,"['aplikasi', 'bagus']","['aplikasi', 'bagus']"
1888,maaf saya uninstall karena dalam apk bisa ganti atau di isi atau rubah bukan dan atau tidak tahu oleh saya sehingga saya rasa tidak aman,Feature Errors,Fungsi fitur gagal,"['maaf', 'uninstall', 'apk', 'ganti', 'isi', 'rubah', 'aman']","['maaf', 'uninstall', 'apk', 'ganti', 'isi', 'rubah', 'aman']"
1889,upgrade akun harus selfie pake ktp,Registration,Masalah verifikasi,"['upgrade', 'akun', 'selfie', 'pake', 'ktp']","['upgrade', 'akun', 'selfie', 'pake', 'ktp']"
1890,bikin pusingkatanya ada vocher pd tpi mau pesan susah bngt transaksi,Feature Errors,Fungsi fitur gagal,"['pusingkatanya', 'vocher', 'pd', 'tpi', 'pesan', 'susah', 'bngt', 'transaksi']","['pusingkatanya', 'vocher', 'pd', 'tpi', 'pesan', 'susah', 'bngt', 'transaksi']"
1891,selelu gagal muat lokasi waktu coba buat lapor posisi lagi mati listrik di rumah,Feature Errors,Kesalahan koordinat lokasi,"['selelu', 'gagal', 'muat', 'lokasi', 'coba', 'lapor', 'posisi', 'mati', 'listrik', 'rumah']","['selelu', 'gagal', 'muat', 'lokasi', 'coba', 'lapor', 'posisi', 'mati', 'listrik', 'rumah']"
1892,cm notf tagih ama padam kapan mau adu malah eror,Feature Errors,Pengaduan tidak bisa di submit/tidak bisa digunakan,"['cm', 'notf', 'tagih', 'ama', 'padam', 'adu', 'eror']","['cm', 'notf', 'tagih', 'ama', 'padam', 'adu', 'eror']"
1893,buat adu gk lamalangsung tangan tugas gk lama tangan selesai padahal tugas pln nya blm ada yg datang apk gendeng,Service O2O,Keluhan yang ditandai dilakukan tanpa realisasi,"['adu', 'gk', 'lamalangsung', 'tangan', 'tugas', 'gk', 'tangan', 'selesai', 'tugas', 'pln', 'nya', 'blm', 'apk', 'gendeng']","['adu', 'gk', 'lamalangsung', 'tangan', 'tugas', 'gk', 'tangan', 'selesai', 'tugas', 'pln', 'nya', 'blm', 'apk', 'gendeng']"
